"cityid1" "kshkod"
"1" 12542 946
"2" 8943 1327
"3" 59562 1747
"4" 15144 1381
"5" 5143 1726
"6" 4742 649
"7" 5344 2527
"8" 28153 346
"9" 9545 988
"10" 5742 2709
"11" 8143 426
"12" 48356 1483
"13" 2083 486
"14" 13544 2240
"15" 2042 685
"16" 25151 2372
"17" 1922 1365
"18" 16747 2506
"20" 6342 1887
"21" 8142 2395
"22" 19750 2319
"23" 32151 724
"24" 35556 3064
"25" 2102 768
"26" 51763 2200
"27" 5942 2973
"28" 13142 1767
"29" 20342 3223
"30" 8345 1257
"31" 16544 2352
"32" 69578 1301
"34" 6145 2591
"35" 9144 1618
"37" 19744 819
"38" 23356 3109
"39" 29957 230
"40" 19342 2715
"41" 2943 405
"42" 16351 2856
"44" 2146 1434
"45" 16550 1414
"46" 39159 792
"47" 4543 1048
"49" 2022 2364
"50" 14342 291
"51" 9142 2360
"52" 1802 637
"53" 2122 2747
"54" 39162 3319
"55" 12544 3179
"56" 23351 1214
"57" 69358 1824
"58" 16546 2135
"60" 35957 1564
"61" 10542 1092
"62" 6543 511
"63" 11742 2188
"64" 17159 235
"66" 20343 2174
"67" 9949 3062
"68" 12942 1586
"69" 17342 369
"70" 5542 1353
"72" 10947 3304
"73" 5142 2401
"75" 8544 407
"76" 2742 644
"78" 13342 1082
"81" 17144 761
"82" 15945 243
"83" 14748 2256
"84" 9947 3073
"85" 5145 2387
"87" 15546 1280
"88" 17147 557
"89" 24951 576
"91" 6745 2456
"93" 10746 1620
"94" 21543 3424
"95" 20944 1828
"96" 11348 3416
"97" 20543 514
"98" 8745 1962
"100" 9342 551
"102" 8543 1794
"103" 9343 2369
"104" 8948 1463
"105" 10948 2960
"106" 70388 2262
"107" 6343 2451
"109" 13542 633
"110" 10942 2382
"111" 10742 3252
"114" 16343 216
"115" 69982 947
"116" 14745 2491
"117" 2343 544
"118" 12548 1832
"119" 37156 648
"120" 2082 1731
"122" 23353 3295
"124" 16545 2661
"125" 16344 3083
"126" 7742 982
"127" 8946 2833
"129" 38956 1127
"130" 35558 1718
"131" 6747 512
