id	town	user	pop	latitude	longitude	code
1	"Aba"	2573	4619	47.0328	18.527955	1737
2	"Abadszalok"	1282	3922	47.474795	20.59866	1244
3	"Abaliget"	241	586	46.142982	18.115559	1254
4	"Abasar"	834	2498	47.801527	20.004282	2455
5	"Abaujszanto"	989	3088	48.28209	21.187145	359
6	"Abaujszolnok"	23	191	48.374395	20.9755	2633
7	"Abaujvar"	49	206	48.52494	21.314576	227
8	"Abda"	1110	3201	47.697735	17.541405	1188
9	"Abod"	50	229	48.393165	20.796585	1035
10	"Abony"	4567	14876	47.18897	20.005999	2787
11	"Abrahamhegy"	244	445	46.815737	17.572677	456
12	"Acs"	2423	6965	47.700565	18.006365	442
13	"Acsa"	354	1443	47.796565	19.382255	1857
14	"Acsad"	141	672	47.323719	16.733942	721
15	"Acsalag"	140	452	47.674019	17.200631	3338
16	"Acsteszer"	151	666	47.40624	18.005605	1813
17	"Adacs"	587	2690	47.69067	19.974895	2324
18	"Adand"	537	2199	46.855885	18.14873	608
19	"Adasztevel"	166	771	47.30445	17.5392	730
20	"Adony"	1445	3912	47.120355	18.86906	892
21	"Adorjanhaza"	114	338	47.242315	17.240005	3130
22	"Adorjas"	70	181	45.850597	18.062788	686
23	"Agasegyhaza"	412	2018	46.841245	19.44839	1768
24	"Agfalva"	493	2178	47.689838	16.514895	488
25	"Aggtelek"	183	535	48.469597	20.506513	936
26	"Agyagosszergeny"	339	882	47.606608	16.945977	2940
27	"Ajak"	1194	3528	48.183185	22.04789	877
28	"Ajka"	12864	29058	47.10591	17.565059	667
29	"Aka"	80	278	47.399381	18.067379	668
30	"Akaszto"	1024	3230	46.69129	19.20551	2194
31	"Alacska"	198	748	48.21725	20.6557	3309
32	"Alap"	658	1925	46.800197	18.687823	2682
33	"Alattyan"	384	2101	47.432365	20.04238	2526
34	"Albertirsa"	4270	12410	47.249115	19.609597	3165
35	"Alcsutdoboz"	460	1446	47.425033	18.603546	1517
36	"Aldebro"	145	649	47.78272	20.236115	634
37	"Algyo"	1638	5251	46.337865	20.20025	3424
38	"Almamellek"	76	428	46.1617	17.879465	1332
39	"Almasfuzito"	725	2174	47.73196	18.251805	3234
40	"Almashaza"	22	69	46.84522	17.04932	2338
41	"Almaskamaras"	223	835	46.461475	21.09369	2959
42	"Almosd"	489	1555	47.420701	21.9798	2764
